Turkey animal production statistics,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Laying_hens,"50,826656","52,224952","58,179047","57,842034","57,324654","53,88307","61,401783","69,722271","71,885207","64,70904","55,67575","57,139257","60,39952","58,774172","60,275674","58,698485","64,286383","63,364818","66,500461","70,93366","78,956861","84,67729","88,720709","93,75147","98,59734","108,689236","121,556027","124,05481","120,725299","121,302869","121,000775"
Broilers,"88,379548","100,3051","120,080935","125,842269","71,689773","99,0739","104,870702","167,27538","167,86273","193,45928","161,899442","188,637066","217,133076","238,101895","257,22144","286,12136","205,082159","180,915558","163,468942","163,984725","158,916608","169,034283","177,432745","199,97615","213,658294","220,322081","221,245322","229,506689","221,84186","258,04634","270,393122"
Turkeys,"3,132676","3,332794","3,340241","3,441995","3,291","3,06354","5,327501","3,805345","3,762516","3,681558","3,254018","3,092408","3,994093","3,902346","3,697103","3,226941","2,675407","3,230318","2,755349","2,94217","2,56333","2,760859","2,925473","2,990305","2,827731","3,182751","3,87246","4,043332","4,541102","4,797793","4,703797"
Geese,"1,599831","1,752495","1,687596","1,719833","1,745163","1,641915","1,79461","1,771327","1,670916","1,496604","1,39756","1,400136","1,336775","1,250634","1,066581","0,830081","1,022711","1,062887","0,944731","0,715555","0,679516","0,676179","0,755286","0,91199","0,850694","0,933353","0,978384","1,08019","1,157049","1,37396","1,477569"
Ducks,"1,112015","1,154743","1,171961","1,186891","1,199925","1,09386","1,828792","1,339468","1,294824","1,104176","0,913748","0,832091","0,81091","0,770436","0,656409","0,52525","0,481829","0,470158","0,412723","0,396851","0,382223","0,35673","0,367821","0,39982","0,398387","0,413841","0,491561","0,532841","0,519575","0,55962","0,539897"
Cattle(Culture),"1,253865","1,33741","1,442","1,512","1,702","1,795","1,715","1,733","1,782","1,806","1,854","1,859786","1,940506","2,109393","2,354957","2,771818","3,295678","3,554585","3,723583","4,19789","4,836547","5,679484","5,954333","6,178757","6,385343","6,588527","7,804588","8,419204","8,559855","8,838498","8,824784"
Cattle(Cross-bred),"4,033375","4,131507","4,342","4,543","4,776","4,909","4,69","4,695","4,826","4,738","4,62","4,357549","4,28489","4,39509","4,537998","4,694197","4,46535","4,454647","4,406041","4,707188","5,120621","5,776028","6,112437","6,060937","5,733803","5,758336","6,536073","7,030297","7,554625","7,594127","7,6411"
Cattle(Domestic),"6,685683","6,48199","6,126","5,846","5,311","5,182","4,78","4,603","4,446","4,217","4,074","3,586163","3,562706","3,564863","3,633485","3,405349","3,275725","2,85071","2,594334","2,464722","2,429169","2,4594","2,348487","1,983415","1,874925","1,733292","1,602925","1,593005","1,573659","1,532857","1,384659"
Buffaloes,"0,36615","0,35241","0,316","0,305","0,255","0,235","0,194","0,176","0,165","0,146","0,138","0,121077","0,113356","0,1039","0,104965","0,100516","0,084705","0,086297","0,087207","0,084726","0,097632","0,107435","0,117591","0,122114","0,133766","0,142073","0,161439","0,178397","0,184192","0,192489","0,185574"
Sheep(Domestic),"39,590493","38,575828","36,709","34,823","32,985","32,234","29,376","28,56","29,425","27,719","26,213","24,473826","24,689169","24,438459","24,551972","24,801481","24,491211","22,955941","20,721925","22,003299","23,811036","25,892582","27,485166","29,033981","29,302358","28,832669","31,257408","32,513293","34,199467","38,579748","41,182899"
Sheep(Merino),"0,841847","0,84011","0,832","0,823","0,806","0,838","0,862","0,875","0,831","0,773","0,759","0,69988","0,74237","0,762696","0,752353","0,815431","0,971082","1,01865","1,027583","1,086392","1,220529","1,532651","1,799081","2,106263","2,205576","2,151264","2,420228","2,681679","3,076583","3,547033","3,994791"
Goats(Ordinary),"9,579256","9,4396","9,192","8,767","8,397","8,242","7,761","7,523","7,284","6,828","6,676","6,519332","6,516088","6,3799","6,284498","6,433744","6,095292","5,435393","4,981299","6,140627","7,126862","8,199184","9,059259","10,167125","10,210338","10,137534","10,419027","10,698553","10,964374","11,698825","12,051957"
Goats(Angora),"1,184942","1,01434","0,941","0,797","0,714","0,709","0,615","0,534","0,49","0,373","0,346","0,260762","0,255587","0,230037","0,232966","0,20955","0,191066","0,158168","0,146986","0,152606","0,151091","0,158102","0,166289","0,177811","0,205828","0,207765","0,215645","0,223874","0,241055","0,28702","0,289557"
